County,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,Electric Utility,Vehicle Age,Is Luxury Brand
Yakima,98903,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,14,PACIFICORP,11,1
Mason,98584,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),1,12,36900,35,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF MASON COUNTY,5,0
Pierce,98466,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,28,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,5,1
Clark,98607,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),11,1
Pierce,98418,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,27,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,7,1
Kitsap,98110,2016,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,43700,23,PUGET SOUND ENERGY INC,8,1
King,98027,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),0,32,39995,5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,1
King,98053,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),0,32,39995,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,1
King,98121,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,16,52650,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
Pierce,98387,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,28,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,11,1
King,98166,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,34,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
Snohomish,98203,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,38,PUGET SOUND ENERGY INC,11,1
Snohomish,98292,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,10,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,12,1
Skagit,98221,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,10,PUGET SOUND ENERGY INC,10,1
Snohomish,98294,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,39,PUGET SOUND ENERGY INC,10,1
Klickitat,98635,2011,TESLA,ROADSTER,Battery Electric Vehicle (BEV),0,245,109000,14,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF KLICKITAT COUNTY,13,1
King,98033,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
Clark,98661,2018,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),1,12,36800,49,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),6,0
Kittitas,98925,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,13,PUGET SOUND ENERGY INC,11,1
Clark,98604,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,45600,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),6,1
King,98178,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,37,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
King,98178,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,16,53400,37,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,1
